OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
+,9435,8259,9005,8460,5314,3960,6262,9198,4,340,1535,2421,3578,6571,5858
+,4283,7905,7996,3818,941,377,5070,9256,4067,4754,9395,9762,5356,7968,5819
+,2251,5800,4149,619,3528,4963,9962,8198,4743,807,172,9921,2935,7728,7333
+,8879,3723,4382,6836,8760,1227,194,9876,5088,7777,5969,6167,7617,6772,957
+,890,683,6880,9948,3885,3106,3070,5406,7095,9297,8188,4088,4142,2137,8605
+,4606,3501,9725,4739,9633,8603,2109,4019,910,8269,5750,4782,7247,907,9870
+,8359,6027,6437,5362,2338,955,1529,5323,4966,5074,5348,2963,4046,5588,8727
+,9794,3821,4432,9242,4484,4892,7652,4487,9571,5374,5318,7950,7664,2101,5508
+,1691,2817,112,6665,8284,1891,3980,9113,4751,5461,1584,2466,265,5183,5677
+,2052,3854,784,8620,6400,2151,2216,1392,183,7738,7722,5079,7301,1907,706
-,2251,5800,4149,619,3528,4963,9962,8198,4743,807,172,9921,2935,7728,7333
+,2737,8565,8764,9896,8704,7377,1865,5419,3279,9857,110,3350,5165,4078,2642
+,1299,5479,1297,4271,3282,4565,8511,4029,3034,9885,600,5236,7136,681,7714
+,1363,8610,114,9119,7428,8633,1079,5925,1785,1449,8403,6679,3756,6159,9575
+,3076,4931,5181,2768,4916,8202,554,1761,7090,4649,9490,6504,9575,3278,9514
+,1144,2368,1032,8520,6200,512,4857,9609,5872,1008,36,384,5331,5822,7784
+,5360,5615,8297,5060,5879,6543,4742,5898,5594,3987,3015,4,7707,7369,2065
+,4050,4827,9243,7035,6064,2194,7501,7385,1133,9519,7506,5498,8445,1315,2017
+,107,8885,4677,4699,7854,3794,5066,8735,2240,4694,3269,3541,8721,2409,2375
+,4093,4961,6289,7102,8152,3019,9437,2830,7977,3555,1462,8034,7676,804,9322
+,6792,1294,2540,5775,6697,581,8451,8117,7969,4519,8160,4455,664,3341,4078
-,1299,5479,1297,4271,3282,4565,8511,4029,3034,9885,600,5236,7136,681,7714
+,4883,2571,9043,6681,8518,5695,8106,3012,3119,6918,1319,766,821,9887,5167
+,328,3739,2953,2664,5705,6189,8273,2577,1096,2128,4498,1208,5815,297,3890
+,4296,2090,5068,879,8849,8262,6389,7312,4822,4374,4332,2332,8978,5306,6159
+,4608,1886,4987,5467,3698,3934,1979,4839,5298,1768,1882,2383,1332,4008,7069
+,7168,8117,6252,8955,274,717,9843,1657,272,4984,2973,8402,516,4961,8650
+,3883,5342,8964,673,6510,4082,2084,2527,9313,3398,7245,3552,6590,8471,6942
+,7336,7878,6520,4664,4963,9489,7494,5250,6911,4919,6438,5795,5634,5035,3737
+,2662,5064,3299,3447,4975,390,8647,8948,8305,333,3716,7269,9554,3739,865
+,3738,9329,5273,7794,4810,5329,9757,9815,4923,6039,5523,793,9163,3709,649
+,1169,3865,8689,4446,928,3577,3913,7613,7645,6347,1134,2274,3925,1930,8603
-,1363,8610,114,9119,7428,8633,1079,5925,1785,1449,8403,6679,3756,6159,9575
+,8242,2278,211,5926,5830,6487,3631,3897,9060,2128,958,3274,9322,3059,7003
+,9932,7151,4386,9940,1777,9944,6120,9422,2212,5294,3554,9028,3233,3184,4672
+,7371,9487,4587,1781,4569,2689,9767,8136,9350,4992,786,4147,165,9298,5086
