OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
+,7775,14243,3135,13388,7173,1106,14838,2733,480,4592,748,4942,626,9488,9235
+,783,5084,12041,5288,3884,4207,2905,4341,2935,11607,12562,8471,7822,3270,3391
+,6835,12962,6775,761,7355,6250,9104,9648,6127,203,1155,4568,7971,11165,11644
-,783,5084,12041,5288,3884,4207,2905,4341,2935,11607,12562,8471,7822,3270,3391
+,2394,12368,7748,6954,4713,14966,12405,7039,7544,5925,87,14869,11662,6386,3900
+,4517,13057,13781,13462,5487,3400,13497,13207,6925,3460,10355,10274,4684,11348,884
+,14342,10760,13615,8382,12373,9627,14903,579,549,14299,1958,8568,5864,9794,13904
-,2394,12368,7748,6954,4713,14966,12405,7039,7544,5925,87,14869,11662,6386,3900
+,2934,1096,1701,9315,8894,7352,3189,14374,12933,9476,12941,3466,6132,12780,2475
+,8973,4147,10005,4226,4689,10324,8086,2874,2835,9779,5623,2077,3514,8635,6484
+,1245,8935,9473,2406,3733,2318,9300,7249,1033,2938,7244,31,11371,4680,5902
-,14342,10760,13615,8382,12373,9627,14903,579,549,14299,1958,8568,5864,9794,13904
+,6881,7136,4672,2491,1216,13469,4165,14280,9425,5544,2000,8055,8458,12448,3925
+,10414,9780,140,12635,12685,13491,5546,6665,11916,9155,5251,8098,6420,14309,2308
+,3923,367,374,6711,10205,5092,13304,4917,6955,5198,12728,4861,2200,6282,13455
-,6835,12962,6775,761,7355,6250,9104,9648,6127,203,1155,4568,7971,11165,11644
+,5995,3859,7401,11124,10004,10741,11709,13988,1720,13937,11574,1523,5466,5046,2897
+,13854,2747,1820,12728,2651,13064,1334,8641,8677,6394,13694,9360,4618,3434,1179
+,5101,8745,4685,12546,11740,14688,14108,13322,3839,14176,943,13171,1898,5140,932
-,7775,14243,3135,13388,7173,1106,14838,2733,480,4592,748,4942,626,9488,9235
+,8481,5517,11735,3825,6617,1676,3419,10548,6408,4599,5405,14340,10155,13774,9558
+,13982,5536,13919,11470,12072,5654,7169,14220,5334,7744,8587,13988,6022,7936,6485
+,2998,8967,10074,11054,5340,2803,11199,8649,1996,7424,3937,11282,2223,510,7403
-,3923,367,374,6711,10205,5092,13304,4917,6955,5198,12728,4861,2200,6282,13455
+,10043,9115,12025,12985,12539,1592,3116,564,13474,3398,135,1997,10136,13456,4993
+,13170,4597,6019,14987,13586,10938,1128,11996,11200,1764,1806,10011,6542,12108,4295
+,2433,875,613,6117,10828,3075,1645,1833,9249,12881,7423,2455,1805,6029,9014
-,13170,4597,6019,14987,13586,10938,1128,11996,11200,1764,1806,10011,6542,12108,4295
+,4395,12291,6358,11731,447,4704,7469,3623,10982,8692,2327,5676,11898,12886,2047
+,14047,7031,2701,9994,3314,14884,6586,11530,701,4746,3383,3694,3030,13941,1045
+,5871,14463,7539,10346,128,1624,2570,13040,9835,2978,14992,12193,2233,10763,2600
-,10414,9780,140,12635,12685,13491,5546,6665,11916,9155,5251,8098,6420,14309,2308
+,10304,4219,13487,13191,10309,753,11140,12048,9166,4865,13990,7987,12654,9313,3874
+,3769,4961,12180,13160,14998,3454,9050,2144,13199,5112,8171,3128,14910,224,4815
+,10413,6682,6797,3201,12431,13909,13529,693,7155,485,4433,13105,6429,6985,586
-,10043,9115,12025,12985,12539,1592,3116,564,13474,3398,135,1997,10136,13456,4993
+,4340,5715,9292,2395,13789,13928,3614,4564,1456,7797,2385,1434,8865,704,5694
+,8864,12601,1986,9419,10421,12064,9180,10535,2128,3681,6826,13761,14642,2806,14924
+,1267,308,5816,3734,8071,3216,13103,9135,14707,9990,580,10762,1473,6917,4545
-,10413,6682,6797,3201,12431,13909,13529,693,7155,485,4433,13105,6429,6985,586
+,1733,4974,14654,2671,10186,4923,7872,4154,3856,6055,5561,14320,10204,5488,8973
+,6590,12457,4824,613,8499,13862,6879,13675,9429,1455,12878,4964,1141,1749,8307
+,13997,3265,6460,7728,12921,13293,6427,12109,607,3202,10353,9001,6391,853,11850
-,13982,5536,13919,11470,12072,5654,7169,14220,5334,7744,8587,13988,6022,7936,6485
+,10362,9661,1474,8426,7465,8309,13353,8277,13137,13244,5952,12571,6546,11083,11699
+,1264,913,1183,5843,3066,11827,2603,5721,4822,575,12768,3744,5456,14461,12475
+,5523,6138,11442,9970,10181,811,2996,4194,13271,6814,7392,4388,6910,2122,7359
-,6590,12457,4824,613,8499,13862,6879,13675,9429,1455,12878,4964,1141,1749,8307
+,12460,7401,85,6303,13024,1200,1139,4926,14252,8496,10154,14353,8813,1466,12930
+,9140,13395,7436,9754,2427,12465,787,3634,5474,7478,3362,2611,10820,270,10257
+,6031,8110,6320,108,14323,5962,7911,8635,3610,653,11003,4449,7508,2123,6712
-,2934,1096,1701,9315,8894,7352,3189,14374,12933,9476,12941,3466,6132,12780,2475
+,7238,108,1371,6518,6884,940,3731,13651,281,1430,1756,5632,10494,8642,9752
+,4928,6748,1333,5421,7146,10348,12537,4091,9959,13667,4032,14689,14394,10547,13476
+,13956,14884,8540,369,680,5084,7533,7553,10315,3219,1313,4623,9510,13745,3220
-,4395,12291,6358,11731,447,4704,7469,3623,10982,8692,2327,5676,11898,12886,2047
+,6799,14074,7399,2039,4128,7083,4542,8988,7646,664,1170,2534,5236,8230,12394
+,6932,817,11732,11256,4826,1351,7538,10338,12335,10451,4141,13066,9333,5423,5338
+,11072,13019,9732,2872,12175,1882,14197,3497,14912,5141,2814,1086,399,3714,10213
-,8481,5517,11735,3825,6617,1676,3419,10548,6408,4599,5405,14340,10155,13774,9558
+,8935,3529,14878,807,10101,3231,9754,2482,4833,7887,7941,5587,6605,14422,14223
+,13004,11048,11761,1315,10515,11544,5727,2950,1671,972,7767,14034,5304,6937,1598
+,3816,10022,4064,7123,6827,7712,11136,8658,9070,1406,13032,9365,13832,10179,1889
-,4340,5715,9292,2395,13789,13928,3614,4564,1456,7797,2385,1434,8865,704,5694
+,14384,6616,808,2721,4281,13633,3121,4506,12005,9933,14310,9923,13650,204,7044
+,14769,1784,4108,2665,5349,7468,6689,4689,5198,1935,14240,5085,7027,3489,14796
+,5208,12768,1109,12586,2828,8157,8165,13524,10182,10833,14805,13042,11148,12045,6506
-,1267,308,5816,3734,8071,3216,13103,9135,14707,9990,580,10762,1473,6917,4545
+,2736,12864,14420,14356,5029,9703,4477,10565,14525,7885,3670,3120,4737,13598,13410
+,9129,12156,10304,5857,2213,741,7830,6170,7284,14606,12404,13171,12356,4416,11165
+,2913,9165,14660,9471,913,8651,6399,761,6410,3868,12040,13483,8044,7667,997
-,3769,4961,12180,13160,14998,3454,9050,2144,13199,5112,8171,3128,14910,224,4815
+,510,4144,11296,3637,9737,1618,4085,5797,4655,12449,3099,11162,14737,9995,4088
+,2609,5574,4154,10319,10841,4424,273,63,14660,1552,9908,278,10344,5697,8205
+,361,3146,1098,14276,13063,5884,8761,8393,14720,10738,5606,8179,2028,14931,13671
-,4928,6748,1333,5421,7146,10348,12537,4091,9959,13667,4032,14689,14394,10547,13476
+,2388,14911,2797,612,9118,9042,11261,1800,7170,3491,13792,12505,4616,2742,14382
+,4673,11314,82,7072,9130,1086,3470,4384,7399,2068,11673,8784,2381,11056,2743
+,508,1598,4919,3980,5972,14878,5695,11823,9343,6715,1107,4404,14517,13592,6185
-,508,1598,4919,3980,5972,14878,5695,11823,9343,6715,1107,4404,14517,13592,6185
