OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
+,598,14486,14746,1375,12087,1845,13683,3613,12844,14682,13995,8496,4347,10978,8859
+,6319,14814,2147,10020,7888,8629,13401,4549,9305,11646,3073,4965,8895,4254,4075
+,9587,11202,14274,2706,10928,4352,13825,880,10903,1201,11469,6091,2516,12296,11383
+,11885,4987,9068,11399,974,13884,11095,4675,5086,2553,10827,4244,6751,9677,13072
+,7248,8012,5421,417,11577,1888,9725,1180,7335,9530,10370,11933,8574,3711,3167
+,10261,1703,10652,1887,7206,11638,13500,12703,1272,6717,5374,14313,6404,2667,2479
+,78,3681,1387,6005,2584,7397,14407,13223,7178,2405,11572,13711,12824,4183,13938
+,559,8403,13846,1753,648,14727,14908,1073,3112,1667,14220,9912,9719,13462,14574
+,7076,1984,14779,1138,6135,6559,8150,608,4651,1882,11937,1182,2860,9803,1784
+,13530,6611,7947,11774,2355,8182,98,14615,13030,13642,4908,6043,11045,12145,8158
+,72,8240,6869,3385,10238,10893,10903,10121,261,12356,12889,10204,9351,11294,6235
+,9517,4511,2713,11233,6068,13490,1585,2624,4703,13498,610,2254,2714,7760,1334
+,6948,5468,869,10253,2385,10507,2521,10212,1215,5874,11639,14100,5040,8203,13295
+,9687,9618,2151,6936,3810,5503,11322,11541,2041,6418,1102,3561,6937,9154,5368
+,4491,5370,11207,6886,8750,14164,7372,4627,12191,12303,13273,14663,7016,1517,11735
-,6948,5468,869,10253,2385,10507,2521,10212,1215,5874,11639,14100,5040,8203,13295
+,5497,14886,7454,4402,1167,3241,7086,13814,773,11051,6662,565,14046,5715,218
+,1514,5670,11627,11264,5483,2577,4643,11292,1130,14182,11471,2842,3462,14126,8734
+,8478,4380,4322,7855,11167,6950,2076,10836,2834,9470,13056,6753,13913,5532,10058
+,2880,14981,12881,251,14560,6008,1642,6589,3875,9235,5313,1667,14396,2058,13143
